emotion,start,end
Fear,0.0,1.92
Neutral,1.92,2.36
Neutral,2.36,2.64
Neutral,2.64,2.84
Neutral,2.84,2.88
Happy,2.88,2.92
Neutral,2.92,2.96
Neutral,2.96,3.0
Happy,3.0,3.28
Sad,3.28,3.44
Neutral,3.44,3.48
Fear,3.48,4.04
Neutral,4.04,4.08
Neutral,4.08,4.12
Surprise,4.12,4.88
Sad,4.88,5.04
Sad,5.04,5.16
Happy,5.16,5.4
Happy,5.4,5.48
Neutral,5.48,5.6
Fear,5.6,5.76
Surprise,5.76,6.24
Fear,6.24,8.48
Happy,8.48,10.08
